[2025-07-07 12:24:33] SECTION: 
==================================================
CATEGORY COMPRESSION PROCESS STARTED
==================================================
[2025-07-07 12:24:33] INFO: Process configuration | Context: batch_size=10, dry_run=False, model=gpt-4.1
[2025-07-07 12:24:40] INFO: MongoDB query for categories needing compression | Context: total_categories_in_db=162, categories_needing_compression=162, skipped_count=0
[2025-07-07 12:24:40] INFO: Processing batch | Context: batch_num=1, total_batches=17, batch_size=10
[2025-07-07 12:24:40] INFO: Compressing category | Context: category=instrumentResult, original_words=14, original_preview=This category provides the instrument results from the calculation. It may contain multiple scenario..., display_name=Instrument Result
[2025-07-07 12:24:42] SUCCESS: ✅ Successfully compressed category | Context: category=instrumentResult, original_words=14, compressed_words=8, reduction=42.9%, compressed_preview=Instrument results from calculation; may include multiple scenarios....
[2025-07-07 12:24:42] INFO: Saving compressed description to NEW field | Context: category=instrumentResult, action=adding_compressed_description_field
[2025-07-07 12:24:45] SUCCESS: ✅ Database updated with compressed description | Context: category=instrumentResult, original_kept=YES - original description preserved, new_field=description_compressed
[2025-07-07 12:24:45] INFO: Compressing category | Context: category=gcorrVariableSelection, original_words=25, original_preview=This category contains the macroeconomic variable that is used in the analysis for a GCorr macroecon..., display_name=GCorr Variable Selection
[2025-07-07 12:24:45] SUCCESS: ✅ Successfully compressed category | Context: category=gcorrVariableSelection, original_words=25, compressed_words=14, reduction=44.0%, compressed_preview=Macro­economic variable used in GCorr macro­economic variable set; data imported for each GCorr mode...
[2025-07-07 12:24:45] INFO: Saving compressed description to NEW field | Context: category=gcorrVariableSelection, action=adding_compressed_description_field
[2025-07-07 12:24:47] SUCCESS: ✅ Database updated with compressed description | Context: category=gcorrVariableSelection, original_kept=YES - original description preserved, new_field=description_compressed
[2025-07-07 12:24:47] INFO: Compressing category | Context: category=gcorrFactorCode, original_words=17, original_preview=This category contains the GCorr factors for each GCorr model. Data is imported for each GCorr model..., display_name=GCorr Factor Code
[2025-07-07 12:24:50] SUCCESS: ✅ Successfully compressed category | Context: category=gcorrFactorCode, original_words=17, compressed_words=14, reduction=17.6%, compressed_preview=Category for GCorr factors associated with each GCorr model; data imported per GCorr model....
[2025-07-07 12:24:50] INFO: Saving compressed description to NEW field | Context: category=gcorrFactorCode, action=adding_compressed_description_field
[2025-07-07 12:24:52] SUCCESS: ✅ Database updated with compressed description | Context: category=gcorrFactorCode, original_kept=YES - original description preserved, new_field=description_compressed
[2025-07-07 12:24:52] INFO: Compressing category | Context: category=gcorrMacroeconomicVariableMapping, original_words=21, original_preview=This category contains the definition of the GCorr macroeconomic variables for use with scenarios. D..., display_name=GCorr Macroeconomic Variable Mapping
[2025-07-07 12:24:53] SUCCESS: ✅ Successfully compressed category | Context: category=gcorrMacroeconomicVariableMapping, original_words=21, compressed_words=12, reduction=42.9%, compressed_preview=Defines GCorr macroeconomic variables for scenario use; data imported per GCorr model....
[2025-07-07 12:24:53] INFO: Saving compressed description to NEW field | Context: category=gcorrMacroeconomicVariableMapping, action=adding_compressed_description_field
[2025-07-07 12:24:54] SUCCESS: ✅ Database updated with compressed description | Context: category=gcorrMacroeconomicVariableMapping, original_kept=YES - original description preserved, new_field=description_compressed
[2025-07-07 12:24:54] INFO: Compressing category | Context: category=instrumentAccountReport, original_words=35, original_preview=This category contains the results mapped to an account. Data is imported for each portfolio and its..., display_name=Instrument Account Report
[2025-07-07 12:24:56] SUCCESS: ✅ Successfully compressed category | Context: category=instrumentAccountReport, original_words=35, compressed_words=25, reduction=28.6%, compressed_preview=Category of results linked to accounts; data imported per portfolio, as of date, and scenario. Prima...
[2025-07-07 12:24:56] INFO: Saving compressed description to NEW field | Context: category=instrumentAccountReport, action=adding_compressed_description_field
[2025-07-07 12:24:57] SUCCESS: ✅ Database updated with compressed description | Context: category=instrumentAccountReport, original_kept=YES - original description preserved, new_field=description_compressed
[2025-07-07 12:24:57] INFO: Compressing category | Context: category=gcorrSmoothingCoefficientLGD, original_words=27, original_preview=The coefficients for the smoothing function that is applied when using the GCorr Macro model for gen..., display_name=GCorr Smoothing Coefficient LGD
[2025-07-07 12:24:58] SUCCESS: ✅ Successfully compressed category | Context: category=gcorrSmoothingCoefficientLGD, original_words=27, compressed_words=19, reduction=29.6%, compressed_preview=Smoothing coefficients used in the GCorr Macro model for generating Loss Given Default (LGD) curves;...
[2025-07-07 12:24:58] INFO: Saving compressed description to NEW field | Context: category=gcorrSmoothingCoefficientLGD, action=adding_compressed_description_field
[2025-07-07 12:24:59] SUCCESS: ✅ Database updated with compressed description | Context: category=gcorrSmoothingCoefficientLGD, original_kept=YES - original description preserved, new_field=description_compressed
[2025-07-07 12:24:59] INFO: Compressing category | Context: category=industryCreditTrend, original_words=13, original_preview=This category contains the industry credit trend. Data is imported for each month...., display_name=Industry Credit Trend
[2025-07-07 12:25:00] SUCCESS: ✅ Successfully compressed category | Context: category=industryCreditTrend, original_words=13, compressed_words=8, reduction=38.5%, compressed_preview=Industry credit trend by month. Data imported monthly....
[2025-07-07 12:25:00] INFO: Saving compressed description to NEW field | Context: category=industryCreditTrend, action=adding_compressed_description_field
[2025-07-07 12:25:01] SUCCESS: ✅ Database updated with compressed description | Context: category=industryCreditTrend, original_kept=YES - original description preserved, new_field=description_compressed
[2025-07-07 12:25:01] INFO: Compressing category | Context: category=rating, original_words=20, original_preview=This category defines the ratings for the rating agencies used in the analysis. Data is imported for..., display_name=Rating
[2025-07-07 12:25:02] SUCCESS: ✅ Successfully compressed category | Context: category=rating, original_words=20, compressed_words=11, reduction=45.0%, compressed_preview=Category for ratings assigned by rating agencies; data imported per agency....
[2025-07-07 12:25:02] INFO: Saving compressed description to NEW field | Context: category=rating, action=adding_compressed_description_field
[2025-07-07 12:25:04] SUCCESS: ✅ Database updated with compressed description | Context: category=rating, original_kept=YES - original description preserved, new_field=description_compressed
[2025-07-07 12:25:04] INFO: Compressing category | Context: category=scenario, original_words=23, original_preview=This category contains the details of the scenario such as its description. Data is imported for eac..., display_name=Scenario
[2025-07-07 12:25:04] SUCCESS: ✅ Successfully compressed category | Context: category=scenario, original_words=23, compressed_words=15, reduction=34.8%, compressed_preview=Category for scenario details and description. Data imported per scenario. Scenario acts as primary ...
[2025-07-07 12:25:04] INFO: Saving compressed description to NEW field | Context: category=scenario, action=adding_compressed_description_field
[2025-07-07 12:25:06] SUCCESS: ✅ Database updated with compressed description | Context: category=scenario, original_kept=YES - original description preserved, new_field=description_compressed
[2025-07-07 12:25:06] INFO: Compressing category | Context: category=instrumentReporting, original_words=54, original_preview=This category contains amounts reported during the reporting period. This category supports the Curr..., display_name=Instrument Reporting
[2025-07-07 12:25:07] SUCCESS: ✅ Successfully compressed category | Context: category=instrumentReporting, original_words=54, compressed_words=45, reduction=16.7%, compressed_preview=Contains amounts reported during the reporting period to support the Current Expected Credit Loss (C...
[2025-07-07 12:25:07] INFO: Saving compressed description to NEW field | Context: category=instrumentReporting, action=adding_compressed_description_field
[2025-07-07 12:25:08] SUCCESS: ✅ Database updated with compressed description | Context: category=instrumentReporting, original_kept=YES - original description preserved, new_field=description_compressed
[2025-07-07 12:25:08] INFO: Processing batch | Context: batch_num=2, total_batches=17, batch_size=10
[2025-07-07 12:25:08] INFO: Compressing category | Context: category=propertyReference, original_words=33, original_preview=This category describes the property-level data used for calculation and reporting purposes. Data is..., display_name=Property Reference
[2025-07-07 12:25:09] SUCCESS: ✅ Successfully compressed category | Context: category=propertyReference, original_words=33, compressed_words=21, reduction=36.4%, compressed_preview=Property-level data for calculation and reporting. Imported per portfolio and as of date. Primary ke...
[2025-07-07 12:25:09] INFO: Saving compressed description to NEW field | Context: category=propertyReference, action=adding_compressed_description_field
[2025-07-07 12:25:12] SUCCESS: ✅ Database updated with compressed description | Context: category=propertyReference, original_kept=YES - original description preserved, new_field=description_compressed
[2025-07-07 12:25:12] INFO: Compressing category | Context: category=segmentRiskMetric, original_words=59, original_preview=This category describes segment-level risk metrics that can be imported and used for calculation and..., display_name=Segment Risk Metric
[2025-07-07 12:25:13] SUCCESS: ✅ Successfully compressed category | Context: category=segmentRiskMetric, original_words=59, compressed_words=35, reduction=40.7%, compressed_preview=Category for segment-level risk metrics imported as term structures for calculation and reporting. D...
[2025-07-07 12:25:13] INFO: Saving compressed description to NEW field | Context: category=segmentRiskMetric, action=adding_compressed_description_field
[2025-07-07 12:25:15] SUCCESS: ✅ Database updated with compressed description | Context: category=segmentRiskMetric, original_kept=YES - original description preserved, new_field=description_compressed
[2025-07-07 12:25:15] INFO: Compressing category | Context: category=entityFinancialStatement, original_words=12, original_preview=This category contains entity-level financial statements used for calculation and reporting purpose...., display_name=Entity Financial Statement
[2025-07-07 12:25:15] SUCCESS: ✅ Successfully compressed category | Context: category=entityFinancialStatement, original_words=12, compressed_words=7, reduction=41.7%, compressed_preview=Entity-level financial statements for calculation and reporting....
[2025-07-07 12:25:15] INFO: Saving compressed description to NEW field | Context: category=entityFinancialStatement, action=adding_compressed_description_field
[2025-07-07 12:25:16] SUCCESS: ✅ Database updated with compressed description | Context: category=entityFinancialStatement, original_kept=YES - original description preserved, new_field=description_compressed
[2025-07-07 12:25:16] INFO: Compressing category | Context: category=sovereignPD, original_words=11, original_preview=Contains the PDs for sovereigns derived from the EDF 9 model...., display_name=Sovereign PD
[2025-07-07 12:25:17] SUCCESS: ✅ Successfully compressed category | Context: category=sovereignPD, original_words=11, compressed_words=10, reduction=9.1%, compressed_preview=Sovereign probability of default (PD) values from EDF 9 model....
[2025-07-07 12:25:17] INFO: Saving compressed description to NEW field | Context: category=sovereignPD, action=adding_compressed_description_field
[2025-07-07 12:25:18] SUCCESS: ✅ Database updated with compressed description | Context: category=sovereignPD, original_kept=YES - original description preserved, new_field=description_compressed
[2025-07-07 12:25:18] INFO: Compressing category | Context: category=proxyPDLGDCI, original_words=10, original_preview=Contains the proxy PD and LGD provided by Moody's Analytics...., display_name=CI Proxy PD LGD
[2025-07-07 12:25:20] FAILURE: ❌ Category compression validation failed | Context: category=proxyPDLGDCI, original_words=10, compressed_result=Contains the proxy PD and LGD provided by Moody's Analytics...., issues=[None, 'No change', 'Not shorter']
[2025-07-07 12:25:20] INFO: Compressing category | Context: category=naicsMapping, original_words=15, original_preview=The mapping of the North American Industry Classification System (NAICS) industry to Moody's industr..., display_name=NAICS Mapping
[2025-07-07 12:25:20] SUCCESS: ✅ Successfully compressed category | Context: category=naicsMapping, original_words=15, compressed_words=13, reduction=13.3%, compressed_preview=Mapping of North American Industry Classification System (NAICS) industry to Moody's industry sector...
[2025-07-07 12:25:20] INFO: Saving compressed description to NEW field | Context: category=naicsMapping, action=adding_compressed_description_field
[2025-07-07 12:25:22] SUCCESS: ✅ Database updated with compressed description | Context: category=naicsMapping, original_kept=YES - original description preserved, new_field=description_compressed
[2025-07-07 12:25:22] INFO: Compressing category | Context: category=creditModelEcclStandard, original_words=12, original_preview=The outputs from the Moody's Analytics Expected Consumer Credit Losses standard model...., display_name=Credit Model ECCL Standard
[2025-07-07 12:25:22] SUCCESS: ✅ Successfully compressed category | Context: category=creditModelEcclStandard, original_words=12, compressed_words=11, reduction=8.3%, compressed_preview=Outputs from Moody's Analytics Expected Consumer Credit Losses (ECCL) standard model....
[2025-07-07 12:25:22] INFO: Saving compressed description to NEW field | Context: category=creditModelEcclStandard, action=adding_compressed_description_field
[2025-07-07 12:25:25] SUCCESS: ✅ Database updated with compressed description | Context: category=creditModelEcclStandard, original_kept=YES - original description preserved, new_field=description_compressed
[2025-07-07 12:25:25] INFO: Compressing category | Context: category=segmentScenario, original_words=35, original_preview=This category describes segment-level dimensions and aggregated measures at the scenario level. Data..., display_name=Segment Scenario
[2025-07-07 12:25:25] SUCCESS: ✅ Successfully compressed category | Context: category=segmentScenario, original_words=35, compressed_words=27, reduction=22.9%, compressed_preview=Category for segment-level dimensions and aggregated measures at scenario level. Data imported per m...
[2025-07-07 12:25:25] INFO: Saving compressed description to NEW field | Context: category=segmentScenario, action=adding_compressed_description_field
[2025-07-07 12:25:27] SUCCESS: ✅ Database updated with compressed description | Context: category=segmentScenario, original_kept=YES - original description preserved, new_field=description_compressed
[2025-07-07 12:25:27] INFO: Compressing category | Context: category=instrumentGcorrModelParameter, original_words=60, original_preview=This category contains the parameters to use with a given global correlation model. Use this categor..., display_name=Instrument GCorr Model Parameter
[2025-07-07 12:25:28] SUCCESS: ✅ Successfully compressed category | Context: category=instrumentGcorrModelParameter, original_words=60, compressed_words=39, reduction=35.0%, compressed_preview=Parameters for a global correlation (GCorr) model when they vary by model. If parameters are uniform...
[2025-07-07 12:25:28] INFO: Saving compressed description to NEW field | Context: category=instrumentGcorrModelParameter, action=adding_compressed_description_field
[2025-07-07 12:25:30] SUCCESS: ✅ Database updated with compressed description | Context: category=instrumentGcorrModelParameter, original_kept=YES - original description preserved, new_field=description_compressed
[2025-07-07 12:25:30] INFO: Compressing category | Context: category=interestRateInput, original_words=55, original_preview=The input data interest rate data for a scenario. Data is imported for each interest rate curve, sce..., display_name=Interest Rate Input
[2025-07-07 12:25:32] SUCCESS: ✅ Successfully compressed category | Context: category=interestRateInput, original_words=55, compressed_words=35, reduction=36.4%, compressed_preview=Input interest rate data per interest rate curve, scenario, and as of date. Required for cash flow g...
