[2025-07-07 11:23:31] SECTION: 
==================================================
COMPRESSION PROCESS STARTED
==================================================
[2025-07-07 11:23:31] INFO: Process configuration | Context: batch_size=10, dry_run=False, model=gpt-4.1
[2025-07-07 11:23:37] INFO: MongoDB query for attributes needing compression | Context: total_attributes_in_db=3089, attributes_needing_compression=1760, skipped_count=1329
[2025-07-07 11:23:37] INFO: Processing batch | Context: batch_num=1, total_batches=176, batch_size=10
[2025-07-07 11:23:37] INFO: Compressing attribute | Context: attribute=description, original_words=2, original_preview=The description...., data_type=String, display_name=Description
[2025-07-07 11:23:37] FAILURE: ❌ Compression validation failed | Context: attribute=description, original_words=2, compressed_result=The description...., issues=[None, 'No change', 'Not shorter']
[2025-07-07 11:23:37] INFO: Compressing attribute | Context: attribute=netCarryingAmount, original_words=17, original_preview=NOT USED. For IFRS, use IFRS Net Carrying Amount. <br>The gross carrying amount less the loss allowa..., data_type=Amount, display_name=Net Carrying Amount
[2025-07-07 11:23:41] FAILURE: ❌ Compression validation failed | Context: attribute=netCarryingAmount, original_words=17, compressed_result=NOT USED. For IFRS, use IFRS Net Carrying Amount. <br>The gross carrying amount less the loss allowa..., issues=[None, 'No change', 'Not shorter']
[2025-07-07 11:23:41] INFO: Compressing attribute | Context: attribute=ratingStageMapIdentifier, original_words=11, original_preview=The name of the rating-based template for stage allocation for IFRS9...., data_type=String, display_name=Rating-Based Template
[2025-07-07 11:23:42] FAILURE: ❌ Compression validation failed | Context: attribute=ratingStageMapIdentifier, original_words=11, compressed_result=The name of the rating-based template for stage allocation for IFRS9...., issues=[None, 'No change', 'Not shorter']
[2025-07-07 11:23:42] INFO: Compressing attribute | Context: attribute=longTermRating, original_words=4, original_preview=The long term rating...., data_type=String, display_name=Long Term Rating
[2025-07-07 11:23:42] FAILURE: ❌ Compression validation failed | Context: attribute=longTermRating, original_words=4, compressed_result=The long term rating...., issues=[None, 'No change', 'Not shorter']
[2025-07-07 11:23:42] INFO: Compressing attribute | Context: attribute=ficoScore, original_words=5, original_preview=The borrower's FICO credit score...., data_type=Integer, display_name=FICO Score
[2025-07-07 11:23:42] FAILURE: ❌ Compression validation failed | Context: attribute=ficoScore, original_words=5, compressed_result=The borrower's FICO credit score...., issues=[None, 'No change', 'Not shorter']
[2025-07-07 11:23:42] INFO: Compressing attribute | Context: attribute=intercept, original_words=2, original_preview=The intercept...., data_type=Decimal, display_name=Intercept
[2025-07-07 11:23:42] FAILURE: ❌ Compression validation failed | Context: attribute=intercept, original_words=2, compressed_result=The intercept...., issues=[None, 'No change', 'Not shorter']
[2025-07-07 11:23:42] INFO: Compressing attribute | Context: attribute=lossAllowanceUnadjusted, original_words=5, original_preview=The allowance before applying adjustments...., data_type=Amount, display_name=Allowance Amount Unadjusted
[2025-07-07 11:23:42] FAILURE: ❌ Compression validation failed | Context: attribute=lossAllowanceUnadjusted, original_words=5, compressed_result=The allowance before applying adjustments...., issues=[None, 'No change', 'Not shorter']
[2025-07-07 11:23:42] INFO: Compressing attribute | Context: attribute=pdModelName, original_words=10, original_preview=The name of the model used to calculate the PD...., data_type=String, display_name=PD Model
[2025-07-07 11:23:43] FAILURE: ❌ Compression validation failed | Context: attribute=pdModelName, original_words=10, compressed_result=The name of the model used to calculate the PD...., issues=[None, 'No change', 'Not shorter']
[2025-07-07 11:23:43] INFO: Compressing attribute | Context: attribute=z, original_words=2, original_preview=The Z...., data_type=Decimal, display_name=Z
[2025-07-07 11:23:43] FAILURE: ❌ Compression validation failed | Context: attribute=z, original_words=2, compressed_result=The Z...., issues=[None, 'No change', 'Not shorter']
[2025-07-07 11:23:43] INFO: Compressing attribute | Context: attribute=lag2, original_words=5, original_preview=A coefficient for the lag...., data_type=Decimal, display_name=Lag 2
[2025-07-07 11:23:43] FAILURE: ❌ Compression validation failed | Context: attribute=lag2, original_words=5, compressed_result=A coefficient for the lag...., issues=[None, 'No change', 'Not shorter']
[2025-07-07 11:23:43] INFO: Processing batch | Context: batch_num=2, total_batches=176, batch_size=10
